Batch 1
EO-001 | score=0.2063 | visible=True | priority=3
EO-002 | score=0.1787 | visible=False | priority=3
EO-003 | score=0.1625 | visible=False | priority=3
EO-004 | score=0.159 | visible=False | priority=3
EO-005 | score=0.2351 | visible=True | priority=3
EO-006 | score=0.2139 | visible=True | priority=3
EO-007 | score=0.2035 | visible=True | priority=3
EO-008 | score=0.3474 | visible=True | priority=2
EO-009 | score=0.3313 | visible=True | priority=2
EO-010 | score=0.3267 | visible=True | priority=2
Batch 2
EO-011 | score=0.3276 | visible=True | priority=2
EO-012 | score=0.3675 | visible=True | priority=2
EO-013 | score=0.3551 | visible=True | priority=2
EO-014 | score=0.348 | visible=True | priority=2
EO-015 | score=0.2063 | visible=True | priority=3
EO-016 | score=0.1787 | visible=False | priority=3
EO-017 | score=0.1625 | visible=False | priority=3
EO-018 | score=0.159 | visible=False | priority=3
EO-019 | score=0.2351 | visible=True | priority=3
EO-020 | score=0.2139 | visible=True | priority=3
Batch 3
EO-021 | score=0.2036 | visible=True | priority=3
EO-022 | score=0.2063 | visible=True | priority=3
EO-023 | score=0.1787 | visible=False | priority=3
EO-024 | score=0.1625 | visible=False | priority=3
EO-025 | score=0.159 | visible=False | priority=3
EO-026 | score=0.2351 | visible=True | priority=3
EO-027 | score=0.2139 | visible=True | priority=3
EO-028 | score=0.2039 | visible=True | priority=3
EO-029 | score=0.3822 | visible=True | priority=2
EO-030 | score=0.3575 | visible=True | priority=2
Batch 4
EO-031 | score=0.3387 | visible=True | priority=2
EO-032 | score=0.3203 | visible=True | priority=2
EO-033 | score=0.4152 | visible=True | priority=1
EO-034 | score=0.3934 | visible=True | priority=2
EO-035 | score=0.383 | visible=True | priority=2
EO-036 | score=0.3973 | visible=True | priority=2
EO-037 | score=0.3452 | visible=True | priority=2
EO-038 | score=0.3306 | visible=True | priority=2
EO-039 | score=0.3248 | visible=True | priority=2
EO-040 | score=0.4331 | visible=True | priority=1
Batch 5
EO-041 | score=0.4127 | visible=True | priority=1
EO-042 | score=0.3949 | visible=True | priority=2
EO-043 | score=0.2063 | visible=True | priority=3
EO-044 | score=0.1787 | visible=False | priority=3
EO-045 | score=0.1625 | visible=False | priority=3
EO-046 | score=0.159 | visible=False | priority=3
EO-047 | score=0.2351 | visible=True | priority=3
EO-048 | score=0.2139 | visible=True | priority=3
EO-049 | score=0.2036 | visible=True | priority=3
EO-050 | score=0.3486 | visible=True | priority=2
Batch 6
EO-051 | score=0.3067 | visible=True | priority=2
EO-052 | score=0.2882 | visible=True | priority=3
EO-053 | score=0.2744 | visible=True | priority=3
EO-054 | score=0.385 | visible=True | priority=2
EO-055 | score=0.3631 | visible=True | priority=2
EO-056 | score=0.3469 | visible=True | priority=2
EO-057 | score=0.3822 | visible=True | priority=2
EO-058 | score=0.3575 | visible=True | priority=2
EO-059 | score=0.3387 | visible=True | priority=2
EO-060 | score=0.3203 | visible=True | priority=2
Batch 7
EO-061 | score=0.4152 | visible=True | priority=1
EO-062 | score=0.3934 | visible=True | priority=2
EO-063 | score=0.383 | visible=True | priority=2
EO-064 | score=0.2063 | visible=True | priority=3
EO-065 | score=0.1787 | visible=False | priority=3
EO-066 | score=0.1625 | visible=False | priority=3
EO-067 | score=0.159 | visible=False | priority=3
EO-068 | score=0.2351 | visible=True | priority=3
EO-069 | score=0.2139 | visible=True | priority=3
EO-070 | score=0.2034 | visible=True | priority=3
Batch 8
EO-071 | score=0.3973 | visible=True | priority=2
EO-072 | score=0.3452 | visible=True | priority=2
EO-073 | score=0.3306 | visible=True | priority=2
EO-074 | score=0.3248 | visible=True | priority=2
